index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.5,2.2,-4.1,-19.8,2,-4.2,1,0,0,1.0,0.4728268071430246,0.6010545616778273,0.6551515569385578,0.6947490582018133,151.02355215428983,419.29699644067693,146.5204520631296,142.8998192348753,151.02355215428983,73.14886911651459,3.29802821605018,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,2.180507508123386,-1.9972717718432502,13.786784679421292,-0.12055232506439895,0.4274894573468822,-0.8959463715975614,1.64901410802509,2.012510187805644,-1.7045460875410445,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,1,0.0
2,0.064,-15.5,1.9,-4.1,-19.8,1.7,-4.2,1,0,0,1.0,0.4744434879548258,0.5986319144389469,0.6544533476191415,0.6952957608573054,150.7664851020135,418.8501424762506,146.2580347884934,142.74864696008663,150.7664851020135,73.24540919187997,3.292675242473771,0.09408129644229435,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,2.170307627358246,-2.0032097326094274,13.785330458308284,-0.1214023151281606,0.4269946272830341,-0.896067556690312,1.6463376212368854,2.011962892521835,-1.705459811370922,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,2,0.064
3,0.131,-15.3,0.9,-4.6,-19.8,1.7,-4.2,1,0,0,0.20469256189430723,0.7265043245793614,0.2221987569146684,0.5540180682403972,0.7531349504549816,139.08368735266586,354.57156367385426,118.49522378160887,134.58899441099078,139.08368735266586,-30.392731728738653,3.0692139116239106,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,0.7302874311955274,-2.639198660888961,13.792602198289083,-0.2414039981417205,0.3739955499264063,-0.8954615783585788,1.5346069558119553,1.9541098182687784,-1.8341223479005502,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,3,0.131
4,0.195,-16.2,0.5,-4.8,-19.8,1.7,-4.2,1,0,0,1.0,0.8288841158845064,0.05975786334347788,0.5171935828864952,0.77285902129441,154.74620544631935,331.00389304735694,109.02766977868319,145.19941264305749,154.74620544631935,-22.1897697343762,3.4009683517680718,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,0.19218276759309738,-2.8534449831079476,13.864032918452608,-0.286246053441923,0.3561416897414908,-0.8895090183449517,1.7004841758840359,1.9349319108463505,-1.8821333081042408,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,4,0.195
5,0.228,-16.2,0.5,-4.8,-19.8,1.7,-4.2,1,0,0,1.0,0.8282753812015491,0.06548847332835095,0.5174554594086868,0.7719762305954765,153.62238249824404,331.1714940215595,109.45140931417131,144.18064129894833,153.62238249824404,-22.42692279911836,3.377468624979134,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,0.19677784831963496,-2.845296838871266,13.865820814265984,-0.28586313004804487,0.3568207017612142,-0.8893600270271704,1.688734312489567,1.935658669088907,-1.8817919649145964,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,5,0.228
6,0.264,-16.2,0.5,-4.8,-19.8,1.7,-4.2,1,0,0,1.0,0.8274783519980491,0.06799858882134124,0.5177467304587116,0.7716250232675592,151.74409164151305,331.3579074935754,109.61998883157156,142.46309728976357,151.74409164151305,-22.496786537032307,3.3363944320876158,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,0.20227545542477943,-2.843111049577643,13.864932381007044,-0.28540499612261616,0.3570028508690162,-0.8894340631320821,1.6681972160438079,1.9358536607168444,-1.881300785282617,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,6,0.264
7,0.37,-16.2,0,-4.9,-19.8,1.7,-4.2,1,0,0,0.20594980863904502,0.8831099801327511,-0.08837580145675261,0.49803160675103186,0.7920535522597534,143.042588824573,318.7402283206604,99.81429491531838,131.95717987967157,143.042588824573,-17.261004510501223,3.1262467757294066,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,-0.07645579961806304,-3.0743214937593066,13.867713233397067,-0.30863260070951976,0.33773531385387756,-0.8892023254329136,1.5631233878647033,1.9153061187290983,-1.9048757332488553,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,7,0.37
8,0.392,-16.2,0,-4.9,-19.8,1.7,-4.2,1,0,0,0.29472309075620334,0.8896323513122657,-0.09043175410176829,0.49591323921329417,0.791976675279667,142.76724681985792,317.38447309650826,99.85119586575985,131.44354774513454,142.76724681985792,-17.319004476490747,3.121932641080945,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,-0.10692413652816635,-3.0759822675058484,13.877705982397705,-0.3111716287853617,0.33759691604166575,-0.8883695963495271,1.5609663205404725,1.9151590850327223,-1.907714077093,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,8,0.392
9,0.428,-16.2,0.2,-4.9,-19.8,1.7,-4.2,1,0,0,0.3536699090874927,0.8837857306285937,-0.03679993401619619,0.49827024756833493,0.7844007049418925,142.24344987428427,318.89295844373436,103.48766162789161,131.25209712090992,142.24344987428427,-19.050089411479334,3.1200392345249615,1.0,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,-0.07263327140173859,-2.9978980446021817,13.895724629811337,-0.30831405669149264,0.34410393461697125,-0.8868680423983909,1.5600196172624807,1.9220805990084084,-1.905370421041744,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,9,0.428
10,0.46,-16.2,0.3,-4.9,-19.8,1.7,-4.2,1,0,0,0.99,0.8582927681998072,-0.010684878228222061,0.5067983869373178,0.7819734981858335,140.86481543627312,324.3509676398834,104.65272087079993,131.01942021855984,140.86481543627312,-19.53956594723337,3.087380274473025,0.01417407860396791,1,3.6271354088961734,-7.127145260005837,24.538141138592028,12.0,0.051509432797539834,-2.966074216398434,13.865728728593027,-0.2979688313415528,0.3467559203006169,-0.8893677008332501,1.5436901372365126,1.9249065378847423,-1.8940771170556492,411.6460599364155,59.9199345930094,606.4029021578037,606.4029021578037,10,0.46
