index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-9.3,1.1,-3.6,-19.8,2.5,-4.2,1,-0.1,0,1.0,0.26060922308973966,0.3107923464057185,0.5235759890608594,0.5442353620680993,123.74547097712632,335.08863299895006,218.76702620731237,120.24880439321367,123.74547097712632,-15.426008544546477,4.444107888172114,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,0.585929062035939,-0.7698034456851011,22.278538096646514,0.20274173716826951,-0.03299462761288178,-0.9786762194713222,2.222053944086057,1.5377957096721355,-1.3665265381075624,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,1,0.0
2,0.2,-16.2,0.6,-4.8,-19.8,2,-4.2,1,-0.1,0,0.21554960655872643,0.7950445806684228,0.10786549243306265,0.3515893965728806,0.5998435142559967,116.30380576172217,225.01721380664355,192.0751131571216,111.0835926794375,116.30380576172217,36.28302053895731,4.163650217144502,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.426226852297917,-1.7378341490650318,22.205480922305906,-0.13160458902621847,-0.11366385289454267,-0.9847643173330397,2.081825108572251,1.4568862938145273,-1.7036498410705543,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,2,0.2
3,0.3,-16.2,0.5,-4.9,-19.8,2,-4.2,1,-0.1,0,0.1990093938520183,0.8134302488468483,0.10621109211486246,0.34596064599640053,0.6004862113545641,116.40794278522314,221.41481343769635,191.7666185498092,110.68092413101351,116.40794278522314,34.71814771289963,4.171250938069075,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.5604999669460673,-1.750627992396386,22.22568901697189,-0.1427940152468977,-0.11473000650548887,-0.9830803094442078,2.0856254690345377,1.4558131195869064,-1.7150391860014993,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,3,0.3
4,0.3,-16.2,0.4,-4.8,-19.8,1.7,-4.2,1,-0.1,0,0.1990093938520183,0.8134302488468483,0.10621109211486246,0.34596064599640053,0.6004862113545641,116.40794278522314,221.41481343769635,191.7666185498092,110.68092413101351,116.40794278522314,34.71814771289963,4.171250938069075,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.5604999669460673,-1.750627992396386,22.22568901697189,-0.1427940152468977,-0.11473000650548887,-0.9830803094442078,2.0856254690345377,1.4558131195869064,-1.7150391860014993,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,4,0.3
5,0.4,-16.2,0.4,-4.8,-19.8,1.7,-4.2,1,-0.1,0,0.32967136337735825,0.8186573216499353,0.12477770977404079,0.3448338421091691,0.5920883123624421,116.65112961546319,220.69365894986822,195.7976100660278,111.18277978347277,116.65112961546319,31.633732837426948,4.177873272148172,0.03481845113737503,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.584893053038897,-1.6030167750805433,22.212960831667555,-0.14482677242130015,-0.10242907172916865,-0.9841409915529025,2.088936636074086,1.4681872946889276,-1.7169081987160009,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,5,0.4
6,0.5,-16.2,0.5,-4.9,-19.8,1.7,-4.2,1,-0.1,0,0.3930114238302568,0.8797576585641975,0.16825518978447818,0.327308011689168,0.5730344923240156,116.6045872986531,209.47712748106753,204.94344368447253,110.12824057646569,116.6045872986531,21.044342179324104,4.184002243598534,0.027776537870194407,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.9999177691142807,-1.2721905191832459,22.25159330123148,-0.17941216542758212,-0.07486021707106051,-0.9809216190892419,2.092001121799267,1.4958660127144956,-1.751698406454502,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,6,0.5
7,0.5,-16.2,0.4,-4.9,-19.8,1.7,-4.2,1,-0.1,0,0.3930114238302568,0.8797576585641975,0.16825518978447818,0.327308011689168,0.5730344923240156,116.6045872986531,209.47712748106753,204.94344368447253,110.12824057646569,116.6045872986531,21.044342179324104,4.184002243598534,0.027776537870194407,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.9999177691142807,-1.2721905191832459,22.25159330123148,-0.17941216542758212,-0.07486021707106051,-0.9809216190892419,2.092001121799267,1.4958660127144956,-1.751698406454502,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,7,0.5
8,0.6,-16.2,0.5,-5,-19.8,1.7,-4.2,1,-0.1,0,0.23434179089498686,0.8813845503304516,0.16161260363305496,0.3266341472154757,0.5759629805503748,116.01940267911834,209.04585421790443,203.5377693358201,109.4124159429947,116.01940267911834,21.91807367902652,4.164281115184487,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-4.01654098380834,-1.3237018614089857,22.258691451883116,-0.18079743331875373,-0.0791528289232055,-0.9803301065349389,2.0821405575922434,1.4915606129863233,-1.7531721167342487,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,8,0.6
9,0.6,-16.2,0.6,-4.7,-19.8,1.7,-4.2,1,-0.1,0,0.23434179089498686,0.8813845503304516,0.16161260363305496,0.3266341472154757,0.5759629805503748,116.01940267911834,209.04585421790443,203.5377693358201,109.4124159429947,116.01940267911834,21.91807367902652,4.164281115184487,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-4.01654098380834,-1.3237018614089857,22.258691451883116,-0.18079743331875373,-0.0791528289232055,-0.9803301065349389,2.0821405575922434,1.4915606129863233,-1.7531721167342487,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,9,0.6
10,0.7,-15.3,0.8,-4.7,-19.8,1.7,-4.2,1,-0.1,0,0.027441134687276648,0.7712548935586776,0.3360231117702277,0.3663140692369712,0.5020734876695314,117.17023429661745,234.44100431166154,239.00472591862493,114.81850250659278,117.17023429661745,-9.87432984060554,4.173533661753614,1.0,1,-1.8469717839832953,-0.37386791433051964,34.02265273030238,12.0,-3.068012035708147,-0.029837029828377104,22.089895150674096,-0.10175335431040433,0.02866924037517855,-0.9943964649690241,2.086766830876807,1.5994694959525815,-1.6727681533563168,286.3423509287465,233.18694786316675,437.35566764748717,437.35566764748717,10,0.7
