index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-9.3,3.2,-4,-19.8,2.5,-4.2,1,0,0,1,0.450565756,0.629443142,0.550125318,0.619512539,108.0193135,352.0802035,182.6339814,102.2085495,108.0193135,59.66171179,4.064644905,0.706130302,7,0.042787014,-6.489804338,34.54408962,12,1.227445156,-2.106538033,23.43627428,0.098721512,0.365272192,-0.925651278,2.032322453,1.94472151,-1.464547085,320.7679447,123.5204883,430.7538616,430.7538616,1,0.0
2,0.032,-15.5,2.3,-4,-19.8,1.7,-4.2,1,0,0,1,0.448754911,0.633307011,0.550649511,0.618253651,108.0745674,352.4156872,183.2382478,102.137485,108.0745674,59.7555961,4.068487801,0.714521338,7,0.042787014,-6.489804338,34.54408962,12,1.240822277,-2.084295415,23.44651319,0.099836272,0.367125744,-0.924798036,2.034243901,1.946713427,-1.463258118,320.7679447,123.5204883,430.7538616,430.7538616,2,0.032
3,0.135,-15.5,2.3,-4.1,-19.8,1.7,-4.2,1,0,0,1,0.448106161,0.631450809,0.550892711,0.618972961,107.5666312,352.5713349,182.8929786,101.6919382,107.5666312,59.46531199,4.048314969,0.720878213,7,0.042787014,-6.489804338,34.54408962,12,1.246398793,-2.09767589,23.44181389,0.100300982,0.366010704,-0.925189644,2.024157484,1.945514964,-1.462806809,320.7679447,123.5204883,430.7538616,430.7538616,3,0.135
4,0.2,-15.5,2.4,-4,-19.6,1.8,-4.1,1,0.1,0,1,0.44719872,0.631406462,0.551189594,0.619057148,106.6611054,352.76134,182.8525692,100.8247074,106.6611054,59.30960763,4.01406389,0.726543386,7,0.042787014,-6.489804338,34.54408962,12,1.253404382,-2.100247623,23.44155849,0.100884781,0.365796393,-0.925210927,2.007031945,1.945284683,-1.462185655,320.7679447,123.5204883,430.7538616,430.7538616,4,0.2
5,0.264,-15.5,2.4,-4,-19.6,1.8,-4.1,1,0.1,0,1,0.446625133,0.629500464,0.551411232,0.619789163,105.2421606,352.9031883,182.501202,99.5224161,105.2421606,59.01609755,3.959579447,0.728759816,7,0.042787014,-6.489804338,34.54408962,12,1.258166294,-2.11482391,23.43632659,0.101281607,0.364581702,-0.925646919,1.979789723,1.943979874,-1.461812762,320.7679447,123.5204883,430.7538616,430.7538616,5,0.264
6,0.297,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1,0.1,0,1,0.446060979,0.631534687,0.551558842,0.619095825,104.3857576,352.9976586,182.8340041,98.66036186,104.3857576,59.12414278,3.928268321,0.738072944,7,0.042787014,-6.489804338,34.54408962,12,1.261795237,-2.103510041,23.44118724,0.101584019,0.365524525,-0.925241865,1.964134161,1.944992587,-1.461442464,320.7679447,123.5204883,430.7538616,430.7538616,6,0.297
7,0.335,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1,0.1,0,1,0.446231557,0.63008189,0.551529345,0.619608243,103.9641818,352.978781,182.5880435,98.29909326,103.9641818,59.00197161,3.911685816,0.740598297,7,0.042787014,-6.489804338,34.54408962,12,1.260756459,-2.113029203,23.43731737,0.101497454,0.364731261,-0.925564354,1.955842908,1.944140493,-1.461572676,320.7679447,123.5204883,430.7538616,430.7538616,7,0.335
8,0.364,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1,0.1,0,1,0.448937932,0.634095976,0.550576761,0.61795509,103.0923713,352.3691274,183.3815567,97.43415638,103.0923713,59.82114863,3.881127987,0.74404887,7,0.042787014,-6.489804338,34.54408962,12,1.237658345,-2.084446889,23.44611196,0.099572611,0.367113121,-0.924831472,1.940563993,1.946699857,-1.463543792,320.7679447,123.5204883,430.7538616,430.7538616,8,0.364
9,0.396,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1,0.1,0,1,0.450453749,0.633804666,0.550088724,0.617945118,102.227412,352.0567834,183.3863434,96.65145931,102.227412,60.02710239,3.848564028,0.74791397,7,0.042787014,-6.489804338,34.54408962,12,1.225406378,-2.085070149,23.44455232,0.098551614,0.367061182,-0.924961441,1.924282014,1.94664402,-1.464650056,320.7679447,123.5204883,430.7538616,430.7538616,9,0.396
10,0.429,-15.5,2.4,-4.1,-19.8,1.7,-4.2,1,0.1,0,1,0.454369585,0.633194293,0.548827539,0.617864061,102.0981935,351.2496251,183.4252505,96.60631032,102.0981935,60.59695985,3.843866385,0.750947055,7,0.042787014,-6.489804338,34.54408962,12,1.19438093,-2.08346421,23.44192775,0.09596616,0.367195011,-0.925180156,1.921933192,1.946787895,-1.467438956,320.7679447,123.5204883,430.7538616,430.7538616,10,0.429
11,0.465,-15.5,2.5,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.194571668,0.561040813,0.659605939,0.516834825,0.598353609,109.2902979,330.7742879,192.7902675,103.3418416,109.2902979,80.79577945,4.144822351,0.750947055,7,0.042787014,-6.489804338,34.54408962,12,0.413701476,-1.723574865,23.53747892,0.030909539,0.397185789,-0.917217558,2.072411176,1.979244667,-1.537109831,320.7679447,123.5204883,430.7538616,430.7538616,11,0.465
12,0.496,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.99,0.543022781,0.630974744,0.521302185,0.610409447,100.3790866,333.6333987,187.0034653,95.79181818,100.3790866,76.73915735,3.791321312,0.757618232,7,0.042787014,-6.489804338,34.54408962,12,0.520737369,-1.948660254,23.44681185,0.039829196,0.378428674,-0.924773147,1.895660656,1.958894459,-1.527753775,320.7679447,123.5204883,430.7538616,430.7538616,12,0.496
13,0.529,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.542935855,0.628585273,0.521290569,0.611273987,99.53151548,333.6259644,186.5884863,95.05082939,99.53151548,76.61634104,3.75824581,0.763937717,7,0.042787014,-6.489804338,34.54408962,12,0.520222967,-1.964885822,23.44016386,0.039786329,0.377076543,-0.925327147,1.879122905,1.957434127,-1.527825753,320.7679447,123.5204883,430.7538616,430.7538616,13,0.529
14,0.56,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.542785568,0.629526538,0.521349458,0.610952992,99.02171315,333.663653,186.7425639,94.54038769,99.02171315,76.6248105,3.739352673,0.772159978,7,0.042787014,-6.489804338,34.54408962,12,0.521657094,-1.959748827,23.44232037,0.03990584,0.377504626,-0.925147438,1.869676337,1.957896372,-1.527688476,320.7679447,123.5204883,430.7538616,430.7538616,14,0.56
15,0.593,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.542750477,0.630424402,0.521373799,0.610635402,96.90447605,333.6792317,186.8950072,92.50289469,96.90447605,76.64647072,3.659693429,0.775722305,7,0.042787014,-6.489804338,34.54408962,12,0.522067369,-1.956352664,23.44372448,0.03994003,0.37778764,-0.925030428,1.829846715,1.958202019,-1.527646138,320.7679447,123.5204883,430.7538616,430.7538616,15,0.593
16,0.628,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.5442616,0.632885594,0.520969274,0.609594166,96.46179642,333.4203354,187.3948004,92.01842579,96.46179642,77.04071428,3.644209461,0.777510314,7,0.042787014,-6.489804338,34.54408962,12,0.512281563,-1.938334219,23.45068191,0.039124546,0.379289177,-0.924450643,1.82210473,1.959824275,-1.528499627,320.7679447,123.5204883,430.7538616,430.7538616,16,0.628
17,0.66,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.543018025,0.634676926,0.521364459,0.609087575,95.64945561,333.6732538,187.6379639,91.19835493,95.64945561,76.86824879,3.614038511,0.778480138,7,0.042787014,-6.489804338,34.54408962,12,0.521944363,-1.93023884,23.45442007,0.039929779,0.379963791,-0.924139129,1.807019255,1.960553479,-1.527615644,320.7679447,123.5204883,430.7538616,430.7538616,17,0.66
18,0.692,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.543437632,0.635017079,0.521247288,0.608921546,94.4993753,333.5982641,187.7176581,90.09729279,94.4993753,76.95747324,3.570746423,0.780629231,7,0.042787014,-6.489804338,34.54408962,12,0.51897975,-1.928466561,23.45502121,0.039682728,0.380111481,-0.924089034,1.785373211,1.960713148,-1.527880156,320.7679447,123.5204883,430.7538616,430.7538616,18,0.692
19,0.724,-15.5,2.5,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.99,0.537748249,0.682224205,0.52388891,0.59291742,93.26606178,335.2889024,195.3996386,87.6548068,93.26606178,77.45630708,3.542611811,0.777998213,7,0.042787014,-6.489804338,34.54408962,12,0.586409137,-1.645502216,23.57881662,0.045301844,0.403691843,-0.91377275,1.771305906,1.986344862,-1.521260178,320.7679447,123.5204883,430.7538616,430.7538616,19,0.724
20,0.761,-15.5,2.5,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.535283078,0.685258565,0.524646925,0.59211369,93.35858473,335.7740321,195.7854289,87.655448,93.35858473,77.15380883,3.547075015,0.770082867,7,0.042787014,-6.489804338,34.54408962,12,0.605221997,-1.631129846,23.5861268,0.046869582,0.404889541,-0.913163568,1.773537507,1.98765435,-1.519514727,320.7679447,123.5204883,430.7538616,430.7538616,20,0.761
21,0.793,-15.5,2.5,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.537846984,0.68886969,0.524036448,0.590608977,92.41374752,335.3833264,196.507691,86.67103967,92.41374752,77.62784051,3.512982799,0.76904582,7,0.042787014,-6.489804338,34.54408962,12,0.590380789,-1.605205988,23.59690551,0.045632815,0.407049863,-0.912265343,1.756491399,1.990018235,-1.520816557,320.7679447,123.5204883,430.7538616,430.7538616,21,0.793
22,0.856,-15.5,2.5,-4.3,-19.8,1.7,-4.2,1,0.1,0,1,0.536952304,0.691533578,0.524352882,0.589779487,92.54572846,335.5858445,196.9058464,86.71904539,92.54572846,77.55532164,3.519001968,0.769145795,7,0.042787014,-6.489804338,34.54408962,12,0.59834686,-1.590274523,23.60398172,0.046296654,0.408294151,-0.911675658,1.759500984,1.991380901,-1.520057977,320.7679447,123.5204883,430.7538616,430.7538616,22,0.856
