index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.5,2.4,-4,-19.8,2.5,-4.2,1,0.1,0,1.0,0.45379802111926093,0.3482641056220208,0.5925419247047831,0.6332696671557284,93.36861061069811,379.2268318110612,176.03055976525036,92.3387391309937,93.36861061069811,56.26215746276906,3.386751195265701,0.06049328885170402,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,2.154242611325101,-2.3137367291327395,22.670598537029285,-0.08780508042624546,0.20022350062257108,-0.9758077769980027,1.6933755976328504,1.7723823622658448,-1.6605365897108157,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,1,0.0
2,0.2,-9.3,2,-4.4,-19.8,2,-4.2,1,0.1,0,0.21591616112824982,0.6567486837117897,0.25943825504247897,0.5216513227278275,0.6567733002165028,82.23070127657677,333.8568465458096,164.74881589607867,79.92631191380293,82.23070127657677,-7.258147842475353,3.011098322445305,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,0.48911552191718144,-2.7578145253206294,22.857615910596557,-0.22656567121023874,0.16321701760691354,-0.9602229958673966,1.5055491612226526,1.7347468500550107,-1.8025094195478717,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,2,0.2
3,0.3,-9.3,1.6,-4.8,-19.8,1.7,-4.2,1,0.1,0,0.23994437741415242,0.8374428554561968,0.24131655148909736,0.4586005083128704,0.676685705321364,80.44733387783266,293.50432532023706,155.19086144574527,73.35636771353938,80.44733387783266,-2.308085902402226,2.9889179778633466,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,-1.0247755693123661,-3.168212418986665,23.258804350460533,-0.35272326214603444,0.12901719313474397,-0.9267906258787323,1.4944589889316733,1.7001741523871148,-1.9344550366223405,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,3,0.3
4,0.4,-9.3,1.6,-4.8,-19.8,1.7,-4.2,1,0.1,0,1.0,0.8382721678717022,0.23119183760097073,0.4579622463066455,0.6856664614052221,90.615996572398,293.0958376362531,150.88009852549334,82.48423616116008,90.615996572398,0.14969733914138317,3.3624900965105247,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,-1.0480438193261064,-3.3260382960488277,23.246839835914713,-0.3546622829805127,0.11586503671289707,-0.9277876687575504,1.6812450482552623,1.6869221846080023,-1.9359224884317257,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,4,0.4
5,0.5,-9.3,1.6,-4.9,-19.8,1.7,-4.2,1,0.1,0,0.46590712707615217,0.84767050387768,0.22737599579672008,0.4545030074200806,0.6911404178938572,81.68148527157506,290.8819247488516,148.25259941094856,73.99424744146305,81.68148527157506,1.5637374579930992,3.032182330820701,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,-1.1249724087755952,-3.430710888188167,23.26394619233953,-0.3610729987679701,0.10714232070128543,-0.926362139055482,1.5160911654103506,1.6781447033493782,-1.9424572739148325,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,5,0.5
6,0.5,-9.3,1.6,-4.8,-19.8,1.7,-4.2,1,0.1,0,0.2771794844114034,0.825353353018909,0.21989983596743912,0.4622360098150791,0.6944761570382111,81.52227351288123,295.83104628165063,146.65144462165867,74.58147677059517,81.52227351288123,2.8397515690820967,3.015433961763129,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,-0.9349274996980137,-3.4796253603754868,23.186217856465994,-0.345235923011505,0.10306611468567546,-0.932839500378277,1.5077169808815645,1.6740457913827782,-1.9252566812738983,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,6,0.5
7,0.6,-9.3,2,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.5025160955103355,0.5346630938865635,0.3414486738368261,0.5651836407129005,0.6252092159073587,82.46791810780006,361.71753005625635,179.89957636446783,82.2243691646905,82.46791810780006,-61.48947205459453,3.0285149184018474,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,1.5181203475708358,-2.186305435583512,22.772399747299506,-0.14081526907243427,0.21084277508500673,-0.9673243428088178,1.5142574592009237,1.7832333628832389,-1.7153528532633535,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,7,0.6
8,0.7,-9.3,2,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.50717371014619,0.5274443957793977,0.33754759251417266,0.5675063226436495,0.6277747769412956,82.28660128363053,363.2040464919357,178.6681070681781,82.14852974148823,82.28660128363053,-73.90760558940082,3.0192204972005396,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,1.572015827137847,-2.2302881695123586,22.75518858941854,-0.13632397910851665,0.20717754725760282,-0.9687586059655647,1.5096102486002698,1.7794853520586291,-1.7105986289810808,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,8,0.7
9,0.8,-9.3,2,-4.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.5339597057798402,0.338537202990147,0.5653399924771524,0.626572068971923,77.68873220007502,361.8175951853775,179.24540689347694,77.504343322871,77.68873220007502,-59.88646235154502,2.852303429747712,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,1.5229972052941643,-2.2122776815626986,22.76606058653301,-0.14040886426215687,0.20867842125340783,-0.9678526062060258,1.426151714873856,1.781019762076279,-1.714863822696244,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,9,0.8
10,0.9,-9.3,2,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.5698608724785976,0.5339709260145966,0.3576478605207445,0.5658650234212406,0.6183359045846613,81.78071638098291,362.15361498959396,183.19876579936263,81.32278499588328,81.78071638098291,-69.55562167433541,3.005800820734371,1.0,19,3.2079035764400468,-4.716418736603592,34.38029186100532,12.0,1.536142560987885,-2.066760148922313,22.796487456754477,-0.13931341795434682,0.22080488230677328,-0.9653170336875702,1.5029004103671855,1.7934359714631136,-1.7141255337190762,377.85000969257834,154.9460502395886,432.80609891730256,432.80609891730256,10,0.9
