index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.5,2,-4.2,-19.8,2,-4.2,1,0.1,0,0.24857856,0.528752201,0.297655452,0.511777552,0.403395139,120.5724187,327.5376335,286.3703333,120.1652213,120.5724187,13.94559106,3.776193895,1,19,0.999398148,2.875075339,31.34339309,12,0.2247715,1.433030011,19.45556491,-0.064552221,-0.120170444,-0.990652348,1.888096947,1.450334758,-1.635865662,339.7689781,296.8715297,474.7411985,474.7411985,1,0.0
2,0.04,-15.5,2,-4.3,-19.8,2,-4.2,1,0.1,0,0.276413211,0.531164449,0.294069324,0.510458726,0.405561496,119.9767704,326.6935847,285.3304817,119.5501448,119.9767704,18.24846825,3.759335304,1,19,0.999398148,2.875075339,31.34339309,12,0.198063933,1.400540353,19.46132214,-0.066777851,-0.122877916,-0.990172579,1.879667652,1.447607069,-1.638134978,339.7689781,296.8715297,474.7411985,474.7411985,2,0.04
3,0.1,-15.5,1.7,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.282913463,0.529225927,0.281199555,0.510683616,0.413410209,119.4626638,326.8375145,281.5630999,119.0613264,119.4626638,32.19175991,3.74894859,1,19,0.999398148,2.875075339,31.34339309,12,0.202904509,1.28168523,19.47635024,-0.06637447,-0.132782509,-0.988920237,1.874474295,1.437620503,-1.637813936,339.7689781,296.8715297,474.7411985,474.7411985,3,0.1
4,0.17,-15.5,1.7,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.293818604,0.528510882,0.279000838,0.51090854,0.414757381,119.3685373,326.9814658,280.9164571,118.9694201,119.3685373,34.86481252,3.746904034,1,19,0.999398148,2.875075339,31.34339309,12,0.207538048,1.261263783,19.47879997,-0.065988342,-0.134484296,-0.988716093,1.873452017,1.435903314,-1.637438939,339.7689781,296.8715297,474.7411985,474.7411985,4,0.17
5,0.27,-15.5,1.7,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.464963697,0.515488935,0.281223636,0.517314037,0.41327622,119.8902314,331.0809835,281.6274143,119.7165298,119.8902314,34.19912372,3.762526961,1,19,0.999398148,2.875075339,31.34339309,12,0.33795719,1.282971718,19.46788459,-0.05512008,-0.132675302,-0.989625708,1.88126348,1.437728668,-1.626436744,339.7689781,296.8715297,474.7411985,474.7411985,5,0.27
6,0.3,-15.5,1.7,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.485052365,0.514854996,0.285078969,0.51778229,0.410942387,120.1737106,331.3806655,282.7476542,120.009439,120.1737106,24.22014804,3.769669879,1,19,0.999398148,2.875075339,31.34339309,12,0.347369675,1.318215187,19.46269254,-0.054335706,-0.129738346,-0.990058378,1.884834939,1.440691236,-1.625622641,339.7689781,296.8715297,474.7411985,474.7411985,6,0.3
7,0.37,-15.5,1.7,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.408056635,0.513386419,0.293518342,0.518826994,0.40588263,120.2311353,332.0492763,285.1763378,120.0282281,120.2311353,5.954246674,3.76692325,1,19,0.999398148,2.875075339,31.34339309,12,0.368466047,1.394822203,19.45176682,-0.052577675,-0.123354428,-0.990968856,1.883461625,1.447126904,-1.623803464,339.7689781,296.8715297,474.7411985,474.7411985,7,0.37
8,0.4,-15.5,1.8,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.418267529,0.512631407,0.297627494,0.519345419,0.403442927,120.3601419,332.3810681,286.3473951,120.1220674,120.3601419,0.56137764,3.76861496,1,19,0.999398148,2.875075339,31.34339309,12,0.378917915,1.431708734,19.44668358,-0.051706686,-0.12028055,-0.991392459,1.88430748,1.450223847,-1.62290473,339.7689781,296.8715297,474.7411985,474.7411985,8,0.4
9,0.47,-15.5,1.8,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.470346484,0.523168072,0.30667903,0.514811356,0.398031275,119.9856461,329.4792676,288.9449879,119.5858721,119.9856461,3.514701295,3.753065635,1,19,0.999398148,2.875075339,31.34339309,12,0.286537221,1.514225656,19.44213612,-0.059405077,-0.11340414,-0.991771414,1.876532818,1.457147697,-1.6306228,339.7689781,296.8715297,474.7411985,474.7411985,9,0.47
10,0.5,-15.5,1.8,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.325324095,0.523047365,0.310753783,0.515052894,0.395626063,120.5640555,329.6338524,290.0994897,120.1318229,120.5640555,0.978125027,3.769196842,1,19,0.999398148,2.875075339,31.34339309,12,0.291291276,1.550438273,19.43776747,-0.059008906,-0.110386422,-0.992135468,1.884598421,1.460184487,-1.630203005,339.7689781,296.8715297,474.7411985,474.7411985,10,0.5
11,0.53,-15.5,1.8,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.315851927,0.524306767,0.328678774,0.515286396,0.385154774,120.211791,329.7832933,295.1257084,119.6399837,120.211791,-5.854365858,3.750624823,1,19,0.999398148,2.875075339,31.34339309,12,0.295867773,1.709071848,19.42091512,-0.058627531,-0.097166958,-0.993539831,1.875312411,1.473475817,-1.629736717,339.7689781,296.8715297,474.7411985,474.7411985,11,0.53
12,0.56,-15.5,2.1,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.216383653,0.489774504,0.42240245,0.533199027,0.335202825,120.9259879,341.2473772,319.1026441,120.3248629,120.9259879,-24.90391911,3.757503984,1,19,0.999398148,2.875075339,31.34339309,12,0.658112411,2.46314698,19.35532239,-0.028440478,-0.034327363,-0.999005892,1.878751992,1.536462218,-1.599257419,339.7689781,296.8715297,474.7411985,474.7411985,12,0.56
13,0.6,-15.5,2.2,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.327132737,0.523633246,0.469407498,0.521250883,0.309345719,121.0864239,333.6005654,331.5140548,120.2241849,121.0864239,-43.49349397,3.766849835,1,19,0.999398148,2.875075339,31.34339309,12,0.415724028,2.856906218,19.35761007,-0.04863951,-0.001514093,-0.998815251,1.883424917,1.569282233,-1.619455092,339.7689781,296.8715297,474.7411985,474.7411985,13,0.6
14,0.63,-15.5,2.2,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.303329481,0.520816817,0.479292164,0.52272511,0.304517429,121.1092262,334.5440702,333.8316343,120.2489204,121.1092262,-47.76848482,3.768836908,1,19,0.999398148,2.875075339,31.34339309,12,0.445596992,2.930191324,19.3563056,-0.046150096,0.004592999,-0.998923958,1.884418454,1.575389342,-1.616963308,339.7689781,296.8715297,474.7411985,474.7411985,14,0.63
15,0.66,-15.5,2.2,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.250549742,0.532599477,0.460213567,0.517371986,0.313556288,121.1658226,331.1180708,329.4929818,120.2179632,121.1658226,-39.35569447,3.768227861,1,19,0.999398148,2.875075339,31.34339309,12,0.337092294,2.793446667,19.36196213,-0.055192155,-0.006802389,-0.99845258,1.88411393,1.563993885,-1.62601782,339.7689781,296.8715297,474.7411985,474.7411985,15,0.66
16,0.7,-15.5,2.2,-4.3,-19.8,1.7,-4.2,1,0.1,0,0.239374396,0.532167832,0.47479729,0.518131522,0.306172441,121.5026585,331.6041743,333.0372285,120.5121842,121.5026585,-44.62721295,3.780241051,1,19,0.999398148,2.875075339,31.34339309,12,0.352422146,2.905684714,19.36088562,-0.053914667,0.002550781,-0.998542289,1.890120526,1.573347111,-1.624737323,339.7689781,296.8715297,474.7411985,474.7411985,16,0.7
17,0.73,-15.5,2.1,-4.2,-19.8,1.7,-4.2,1,0.1,0,0.241878737,0.482994258,0.430415212,0.536172175,0.331404137,121.3405982,343.1501921,320.9260145,120.8011758,121.3405982,-25.39731674,3.771363856,1,19,0.999398148,2.875075339,31.34339309,12,0.718270729,2.520466534,19.35192862,-0.023427285,-0.029550734,-0.999288705,1.885681928,1.54124129,-1.594235994,339.7689781,296.8715297,474.7411985,474.7411985,17,0.73
18,0.76,-15.5,2.2,-4.1,-19.8,1.7,-4.2,1,0.1,0,0.254780923,0.469569426,0.447368038,0.541999157,0.323480582,121.3767871,346.8794603,324.7293204,120.9964614,121.3767871,-25.41281116,3.775939743,1,19,0.999398148,2.875075339,31.34339309,12,0.836251857,2.640319767,19.34679886,-0.013595524,-0.019562964,-0.999716186,1.887969872,1.551232114,-1.584394873,339.7689781,296.8715297,474.7411985,474.7411985,18,0.76
