index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,0,0,0,0,0,0,0,0,1,0.18071908,-0.554038479,1.160519087,0.743654372,0.345655217,99.07352846,475.9387982,314.0854956,98.19690527,99.07352846,22.02601176,0.618275355,1,31,0.631845268,0.344833868,15.86380859,12,0.97387227,0.462588255,3.869261855,0.02850225,0.009812866,-0.999545561,0.309137677,1.58060935,-1.542288843,344.6942002,253.4770284,937.9840858,937.9840858,1,0.0
2,0.096,-17.8,3.6,-2.3,-19.8,2,-4.2,1,-0.1,0,0.15503098,-0.397013279,1.152123667,0.707234613,0.327823211,98.83469438,452.6301525,322.6448585,98.27227671,98.83469438,36.73392366,0.616359554,1,31,0.631845268,0.344833868,15.86380859,12,0.827544258,0.515761851,3.866622025,0.016308249,0.014243999,-0.999765547,0.308179777,1.585040807,-1.5544857,344.6942002,253.4770284,937.9840858,937.9840858,2,0.096
3,0.132,-9.3,1.1,-3,-19.8,1.7,-4.2,1,-0.1,0,0.209706165,-0.054464198,0.670045238,0.617989846,0.41051414,98.75998501,395.5135017,282.9532129,98.56504405,98.75998501,-62.28444388,0.614465731,1,31,0.631845268,0.344833868,15.86380859,12,0.470429686,0.267617171,3.865142725,-0.013451298,-0.006434725,-0.999888822,0.307232865,1.564361558,-1.584248309,344.6942002,253.4770284,937.9840858,937.9840858,3,0.132
4,0.164,-9.3,0.8,-2.9,-19.8,1.7,-4.2,1,-0.1,0,0.150968112,-0.102117653,0.548207219,0.625086435,0.442430387,99.21359719,400.0553181,267.6334143,98.98136418,99.21359719,-55.39663968,0.61729805,1,31,0.631845268,0.344833868,15.86380859,12,0.498882585,0.171943039,3.865790852,-0.011080224,-0.014407569,-0.999834812,0.308649025,1.556388259,-1.581877927,344.6942002,253.4770284,937.9840858,937.9840858,4,0.164
5,0.196,-9.3,1.1,-3.2,-19.8,1.7,-4.2,1,-0.1,0,0.138593672,0.039654818,0.683123096,0.595078652,0.399369121,98.88096243,380.8503376,288.3028219,98.63627888,98.88096243,-64.58478252,0.615242145,1,31,0.631845268,0.344833868,15.86380859,12,0.378968835,0.301144584,3.866552875,-0.021073036,-0.003640774,-0.99977131,0.307621072,1.567155545,-1.591871063,344.6942002,253.4770284,937.9840858,937.9840858,5,0.196
6,0.228,-9.3,0.4,-2.5,-19.8,1.7,-4.2,1,-0.1,0,0.138063183,-0.277858015,0.38893592,0.655967261,0.480714562,99.32900582,419.8190472,249.2570102,98.94705998,99.32900582,-45.46422416,0.61831349,1,31,0.631845268,0.344833868,15.86380859,12,0.622601774,0.057148221,3.867261109,-0.000770291,-0.023973804,-0.99971229,0.309156745,1.546820226,-1.571566839,344.6942002,253.4770284,937.9840858,937.9840858,6,0.228
7,0.272,-15.7,0.8,-4.8,-19.8,1.7,-4.2,1,-0.1,0,0.99,0.798314754,0.354459526,0.357596067,0.428602617,93.11138882,228.861483,274.2707439,91.18428324,93.11138882,-3.954261987,0.589174785,1,31,0.631845268,0.344833868,15.86380859,12,-0.579264583,0.21675107,3.925768229,-0.100925821,-0.010673567,-0.994836697,0.294587393,1.560122558,-1.671900056,344.6942002,253.4770284,937.9840858,937.9840858,7,0.272
8,0.296,-15.7,0.8,-4.8,-19.8,1.7,-4.2,1,-0.1,0,1,0.799393942,0.356178935,0.357211402,0.427791929,93.78723043,228.6152975,274.659874,91.8379572,93.78723043,-4.098515626,0.593468538,1,31,0.631845268,0.344833868,15.86380859,12,-0.580878385,0.219223503,3.925905787,-0.101060304,-0.01046753,-0.994825234,0.296734269,1.560328605,-1.672035017,344.6942002,253.4770284,937.9840858,937.9840858,8,0.296
9,0.328,-15.6,0.8,-4.8,-19.8,1.7,-4.2,1,-0.1,0,1,0.797793843,0.358468011,0.357887681,0.427122305,93.94822332,229.0481161,274.9812937,92.00645501,93.94822332,-4.249362596,0.594438269,1,31,0.631845268,0.344833868,15.86380859,12,-0.57809585,0.22124453,3.925602355,-0.100828426,-0.010299112,-0.99485052,0.297219135,1.560497033,-1.671801758,344.6942002,253.4770284,937.9840858,937.9840858,9,0.328
10,0.36,-16.1,0.7,-3.8,-19.8,1.7,-4.2,1,-0.1,0,0,0.360156912,0.274406645,0.5,0.5,0,320,240,0,0,90,0,1,31,0.631845268,0.344833868,15.86380859,12,0,0,0,0,0,0,0,0,0,344.6942002,253.4770284,937.9840858,937.9840858,10,0.36
