index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.5,2.1,-5.2,-19.8,2.5,-4.2,1,0.1,0,0.1447310843251104,0.9608498199257043,0.16448955362580797,0.3945712749181368,0.6351645265361754,117.58086203625636,252.52561594760755,175.12102726263583,88.09719313725839,117.58086203625636,21.900689398667765,6.678236934577281,1.0,15,2.4021896744355753,-1.6195807078993654,45.262385984313184,12.0,-3.9717458471557774,-3.731384357357472,35.316872859655845,-0.5311612934659461,-0.17598363745484222,-0.8287927603881116,3.3391184672886407,1.3938914153158906,-2.1407374841158924,352.90497320813427,217.81513243147154,328.74979249120975,328.74979249120975,1,0.0
2,0.033,-15.5,2,-5.2,-19.8,2.5,-4.2,1,0.1,0,0.18872678081043096,0.9667890440954126,0.15633152498394765,0.3928696893318862,0.6387347366579246,117.56845175718792,251.43660117240717,173.40732640419623,87.06016826515261,117.56845175718792,22.49701699186234,6.690045156737881,1.0,15,2.4021896744355753,-1.6195807078993654,45.262385984313184,12.0,-4.04160454597192,-3.8378044804397216,35.38529130318454,-0.5369828517006247,-0.18485198104502967,-0.8230912234273872,3.3450225783689405,1.3848750811885833,-2.1488552808270267,352.90497320813427,217.81513243147154,328.74979249120975,328.74979249120975,2,0.033
3,0.788,-9.3,2,-5.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.9393320911315333,0.1842212442814004,0.4005189253763561,0.6265646998652455,106.58101265607243,256.3321122408679,179.24894406468215,98.91688465043713,106.58101265607243,2.3962733480998963,3.2342012796625834,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.9760320357028076,-1.843489357722409,18.89463491099355,-0.27773480519855426,0.05144714377430479,-0.9592791926122379,1.6171006398312917,1.622266192766994,-1.8526150578233074,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,3,0.788
4,0.824,-9.3,2,-5.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.940384468971514,0.1839941814563586,0.40024685318826947,0.6266676956326688,106.79429855915873,256.15798604049246,179.199506096319,99.08617174272987,106.79429855915873,2.416560226760197,3.2409273794559184,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.9816956178219811,-1.8451309170269872,18.896188233186816,-0.27820677037515207,0.05131034716558993,-0.9591497490961325,1.6204636897279592,1.622129215243745,-1.8531050486542286,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,4,0.824
5,0.888,-9.3,2,-5.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.9403190989191739,0.18366586269981777,0.400254068212426,0.6268073402717779,107.71772700162231,256.16260365595264,179.13247666954663,99.9401873178166,107.71772700162231,2.45219808460827,3.268931774202715,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.9821880536329333,-1.847060630792428,18.896228008020003,-0.2782478066927314,0.05114953768513652,-0.9591464345267,1.6344658871013575,1.621968194324029,-1.8531454367627427,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,5,0.888
6,0.952,-9.3,2,-5.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.937276953967829,0.18278489337921577,0.40099734975993984,0.6271655984850479,108.24888404997297,256.6383038463615,178.96051272717696,100.50550591558016,108.24888404997297,2.568323486042317,3.2842379508597763,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.9674458891303102,-1.851837987630297,18.891707867385605,-0.2770192929841795,0.05075142461531411,-0.9595231129128998,1.6421189754298882,1.6215695635021727,-1.8518589622539858,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,6,0.952
7,1.02,-9.3,2,-5.2,-19.8,1.7,-4.2,1,0.1,0,1.0,0.9346289192340069,0.18289648522169166,0.4016702079804301,0.6271030704428155,108.91378565426977,257.0689331074753,178.99052618744852,101.1900741892383,108.91378565426977,2.567924556471908,3.303756380676569,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.954269250222288,-1.8504501027384417,18.88798533684825,-0.2759212397418443,0.05086708168963538,-0.9598333237910129,1.6518781903382844,1.6216853701552405,-1.8507164707053125,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,7,1.02
8,1.02,-9.3,2,-5.1,-19.8,1.7,-4.2,1,0.1,0,1.0,0.9303925773597925,0.18371163722685768,0.4027668859342115,0.6267322500057275,109.89809080474085,257.77080699789536,179.1685199972508,102.21619177795212,109.89809080474085,2.4935005864064976,3.3325988377312026,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-1.93275748493467,-1.8442496925198797,18.88215322472594,-0.2741285926345428,0.05138378254118222,-0.9603193331345389,1.6662994188656013,1.6222027476181582,-1.8488568661268872,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,8,1.02
9,1.084,-15.5,2.5,-4.5,-19.8,1.7,-4.2,1,0.1,0,0.07637067206417052,0.6392356711159952,0.6120513792757514,0.5033644495881491,0.462133328112336,192.274605825267,322.15324773641544,258.1760025060787,182.7817002011813,192.274605825267,-69.17058654017228,5.854574476083893,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,0.016958008480504994,0.6662698980468416,18.898337708346283,-0.11165230151661155,0.2605937484217423,-0.9589706261661769,2.9272872380419463,1.834433476183538,-1.6867037915026042,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,9,1.084
10,1.152,-9.3,2.2,-3.9,-19.8,1.7,-4.2,1,0.1,0,0.0838122412665612,0.39138816460905534,0.24501692116030416,0.5674829800089541,0.6122164684932176,198.09636743857016,363.18910720573064,186.13609512325553,196.88352606398416,198.09636743857016,29.37050508918675,5.861319018396417,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,1.2813968683914403,-1.5671597219830908,18.439547776851647,-0.006282396524033617,0.07447461341924795,-0.9972031204573963,2.9306595091982084,1.6453399577922356,-1.5770962603596643,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,10,1.152
11,1.184,-9.3,2.6,-3.8,-19.8,1.7,-4.2,1,0.1,0,0.0796529049323423,0.31083392025576373,0.41337910516132936,0.5952501745748512,0.5556445490997319,197.62149129921846,380.96011172790475,213.29061643212864,193.99889689863033,197.62149129921846,44.74862450914781,5.8811788992388845,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,1.8405719936643476,-0.7318520961431803,18.54105793969297,0.04031553058204199,0.1440835822392405,-0.9887439402206196,2.9405894496194422,1.715383155789731,-1.5300444102606898,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,11,1.184
12,1.216,-15.5,2.4,-4.5,-19.8,1.7,-4.2,1,0.1,0,0.12652647636189324,0.6616455485199944,0.5748765715077369,0.4939674008983882,0.4751519579221909,193.006143838055,316.13913657496846,251.92706019734837,184.30728792673926,193.006143838055,-63.00789122263302,5.868903901131566,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-0.17322419866024186,0.4694655733680051,18.87028885041975,-0.12750081877834046,0.2441933880318393,-0.9613080309933878,2.934451950565783,1.8174841388857474,-1.7026593385528799,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,12,1.216
13,1.252,-15.5,2.4,-4.6,-19.8,1.7,-4.2,1,0.1,0,0.11278808714512469,0.6772039035005455,0.5648656347015404,0.48866094038034946,0.478453576023099,193.45026303542429,312.74300184342366,250.3422835089125,184.67282091282877,193.45026303542429,-60.058435140754256,5.883090890621916,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-0.28061840523452,0.4200210043361814,18.872578916933314,-0.13645033599286366,0.24007300727918734,-0.9611171921172578,2.941545445310958,1.8132373838463833,-1.7118244123645905,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,13,1.252
14,1.284,-15.5,1.8,-3.8,-19.8,1.7,-4.2,1,0.1,0,0.1115850743451555,0.3423832476780557,0.360495381723573,0.5839476385086557,0.5723978653706372,198.03769825365615,373.7264886455397,205.2490246220941,195.6202386318482,198.03769825365615,42.46828624215738,5.880855499682381,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,1.61241735539967,-0.9792982453241883,18.50053933585778,0.02130264405998552,0.12346306980748985,-0.9921204905402189,2.9404277498411906,1.6945752284505002,-1.5493277941103742,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,14,1.284
15,1.316,-9.3,3.5,-4.6,-19.8,1.7,-4.2,1,0.1,0,0.029419776525141685,0.6533210296787293,0.7445221529024968,0.510711160949506,0.4136216115329263,191.61958108464754,326.8551430076838,281.4616264641954,176.08228904526644,191.61958108464754,-76.39592165399819,5.896445698969537,1.0,15,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,0.16832837875514106,1.4127295058866287,19.110724632053596,-0.0990381039937252,0.32279871574172453,-0.9412717158572339,2.9482228494847686,1.899481340362893,-1.6756279472522235,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,15,1.316
16,1.348,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,1.0,0.6993366026580852,0.5437391116070831,0.48075840487085425,0.4858099846674845,108.95161543022975,307.6853791173467,246.81120735960744,104.33752611773633,108.95161543022975,-55.127227949025865,3.3105928150323427,1.0,19,1.3567856266798437,-2.4608550830140663,30.405985222340405,12.0,-0.3945479288096656,0.23842473453909996,18.845417794918575,-0.1459444629574591,0.22493998479609717,-0.9633806189518194,1.6552964075161714,1.7976777688467123,-1.7211451290904718,347.66583889291104,189.82138745671327,489.3773344685806,489.3773344685806,16,1.348
17,1.384,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,1.0,0.6968750434445283,0.5398739005225703,0.4812494960896708,0.48729962106519586,107.75187410151678,307.9996774973893,246.09618188870598,103.16361141876419,107.75187410151678,-48.589186921348585,1.9163192805741702,1.0,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.227205906823581,0.12494204521236663,11.029788762012153,-0.17260702967941283,0.20645336092028266,-0.9631115319992641,0.9581596402870851,1.7787451627892024,-1.748131811312995,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,17,1.384
18,1.416,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,1.0,0.6970553563505908,0.5357692062977089,0.48094753332828466,0.48882630862825494,106.94366971271936,307.8064213301022,245.36337185843763,102.43002487835881,106.94366971271936,-48.216562302724185,1.9015478130350574,1.0,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.23041361748555533,0.11155813363639533,11.027503076579467,-0.17287433890124398,0.2053380349556184,-0.9633020057853212,0.9507739065175287,1.7776054164867072,-1.7483663246051608,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,18,1.416
19,1.448,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,1.0,0.6977135908714358,0.5334678096474068,0.4806150266384807,0.48967154069985785,105.83888625907292,307.59361704862766,244.95766046406825,101.38793036809786,105.83888625907292,-47.9627852325047,1.8817363337801891,0.5806920247130476,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.23392149782410399,0.10395675178053976,11.02651535995052,-0.1731666622627897,0.20470458646763043,-0.9633843155044001,0.9408681668900946,1.7769582199191893,-1.7486454226138615,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,19,1.448
20,1.48,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,1.0,0.6989069690656711,0.5307814913764393,0.48010288983445504,0.490650231314092,105.0856278168596,307.2658494940512,244.48788896923585,100.67853961133808,105.0856278168596,-47.63309916592516,1.8681995146344026,0.5985910749828127,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.23957873825056475,0.09532157515507933,11.025702032601064,-0.1736380989649948,0.20398498841550872,-0.9634520927835215,0.9340997573172013,1.7762231102836734,-1.7491071405123382,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,20,1.48
21,1.516,-9.3,2,-5.4,-19.8,1.7,-4.2,1,0.1,0,0.040184495684823004,1.0482021221816955,0.1882540600497471,0.37386842771899376,0.6258104529382212,298.2358059380315,239.275793740156,179.61098258965382,271.784512830308,298.2358059380315,-7.4930449898197224,5.33155915606863,0.610605605918102,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-1.6218931238134544,-1.015318398941106,11.176649899005154,-0.2888309644285689,0.1114316572408266,-0.950873103916514,2.665779578034315,1.6824598902785373,-1.865693065508306,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,21,1.516
22,1.548,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,0.971313005363325,0.7021111170918912,0.5295469917507774,0.4790863982277423,0.4910475951827552,103.23611367391294,306.61529486575506,244.29715431227748,98.88121541634665,103.23611367391294,-47.27834962098814,1.8355155053001977,0.6239950132714944,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.2507782669916889,0.09137412299869796,11.026890860033845,-0.17457139302675515,0.2036560340691436,-0.9633530238307897,0.9177577526500988,1.7758871025531118,-1.7500632462519548,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,22,1.548
23,1.58,-15.5,2.3,-4.6,-19.8,1.7,-4.2,1,0.1,0,0.971313005363325,0.7021111170918912,0.5295469917507774,0.4790863982277423,0.4910475951827552,103.23611367391294,306.61529486575506,244.29715431227748,98.88121541634665,103.23611367391294,-47.27834962098814,1.8355155053001977,0.6239950132714944,19,1.8440784493293727,-2.3524982858310253,22.587127146003322,12.0,-0.2507782669916889,0.09137412299869796,11.026890860033845,-0.17457139302675515,0.2036560340691436,-0.9633530238307897,0.9177577526500988,1.7758871025531118,-1.7500632462519548,370.6185948834364,175.42565516246634,658.7823189649393,658.7823189649393,23,1.58
