index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.5,2.3,-4,-19.8,2.5,-4.2,1,0,0,0.949728443,0.412319273,0.43973922,0.709816763,0.481943746,121.8660267,454.2827286,248.6670018,111.2404122,121.8660267,-82.75765033,7.04E-08,1,10,1.732710721,4.387704913,11.03384645,12,7.88E-08,3.98E-09,3.67E-07,-0.144392554,-0.365642076,-0.919487174,3.52E-08,1.196473774,-1.726560208,417.3622981,486.5483871,1348.577766,1348.577766,1,0.0
2,0.11,-9.3,1.5,-4,-19.8,1.7,-4.2,1,0,0,0.797811892,0.40925582,0.447171383,0.710933278,0.479550631,122.4776133,454.9972982,249.815697,111.8356116,122.4776133,-82.50146568,7.07E-08,1,10,1.732710721,4.387704913,11.03384645,12,7.92E-08,4.64E-09,3.66E-07,-0.144392554,-0.365642076,-0.919487174,3.53E-08,1.196473774,-1.726560208,417.3622981,486.5483871,1348.577766,1348.577766,2,0.11
3,0.15,-9.3,1,-5.5,-19.8,1.7,-4.2,1,0,0,1,0.40945252,0.448465359,0.710920909,0.479090938,121.9648148,454.989382,250.0363496,111.3811049,121.9648148,-82.47187949,7.03E-08,1,10,1.732710721,4.387704913,11.03384645,12,7.92E-08,4.78E-09,3.66E-07,-0.144392554,-0.365642076,-0.919487174,3.52E-08,1.196473774,-1.726560208,417.3622981,486.5483871,1348.577766,1348.577766,3,0.15
4,0.21,-9.3,1,-5.5,-19.8,1.7,-4.2,1,0,0,0,1.081058491,0.243882399,0.5,0.5,0,320,240,0,0,90,0,1,10,1.732710721,4.387704913,11.03384645,12,0,0,0,0,0,0,0,0,0,417.3622981,486.5483871,1348.577766,1348.577766,4,0.21
5,0.25,-9.3,1,-5.5,-19.8,1.7,-4.2,1,0,0,0,1.081058491,0.243882399,0.5,0.5,0,320,240,0,0,90,0,1,10,1.732710721,4.387704913,11.03384645,12,0,0,0,0,0,0,0,0,0,417.3622981,486.5483871,1348.577766,1348.577766,5,0.25
6,0.28,-9.3,1,-5.5,-19.8,1.7,-4.2,1,0,0,0,1.081058491,0.243882399,0.5,0.5,0,320,240,0,0,90,0,1,10,1.732710721,4.387704913,11.03384645,12,0,0,0,0,0,0,0,0,0,417.3622981,486.5483871,1348.577766,1348.577766,6,0.28
7,0.32,-9.3,1.4,-4.3,-19.8,1.7,-4.2,1,0,0,0.709105665,0.547672677,0.396787262,0.669426124,0.488397876,97.66087347,428.4327193,245.5690194,89.80439569,97.66087347,-87.43511383,5.73E-08,1,10,1.732710721,4.387704913,11.03384645,12,6.42E-08,2.57E-09,3.69E-07,-0.144392555,-0.365642076,-0.919487174,2.86E-08,1.196473773,-1.726560209,417.3622981,486.5483871,1348.577766,1348.577766,7,0.32
8,0.34,-9.3,1.4,-4.3,-19.8,1.7,-4.2,1,0,0,0.788595511,0.550252626,0.397011378,0.668677747,0.488161492,96.55496411,427.953758,245.682484,88.80678519,96.55496411,-87.50954572,5.67E-08,1,10,1.732710721,4.387704913,11.03384645,12,6.40E-08,2.65E-09,3.69E-07,-0.144392555,-0.365642076,-0.919487174,2.83E-08,1.196473773,-1.726560209,417.3622981,486.5483871,1348.577766,1348.577766,8,0.34
9,0.38,-9.3,1,-5.5,-19.8,1.7,-4.2,1,0,0,0,1.081058491,0.243882399,0.5,0.5,0,320,240,0,0,90,0,1,10,1.732710721,4.387704913,11.03384645,12,0,0,0,0,0,0,0,0,0,417.3622981,486.5483871,1348.577766,1348.577766,9,0.38
10,0.41,-9.3,1.3,-4.3,-19.8,1.7,-4.2,1,0,0,0.898963416,0.539255576,0.387311625,0.671603052,0.492096851,95.68746258,429.8259531,243.7935115,87.86059875,95.68746258,-87.36633349,5.62E-08,1,10,1.732710721,4.387704913,11.03384645,12,6.51E-08,1.54E-09,3.70E-07,-0.144392555,-0.365642076,-0.919487174,2.81E-08,1.196473773,-1.726560209,417.3622981,486.5483871,1348.577766,1348.577766,10,0.41
