index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.3,1.2,-4.1,-19.8,2.5,-4.2,1,-0.2,0,1,0.462641279,0.313673722,0.551947471,0.639359193,90.00928012,353.2463817,173.1075872,88.14763157,90.00928012,47.7113746,0.670751747,0.156656289,10,-0.31817186,-3.534186637,16.24314033,12,0.250272719,-0.495404605,4.648198565,0.047370382,0.253231836,-0.966245147,0.335375873,1.826815854,-1.521810326,307.8553932,105.100241,916.0790154,916.0790154,1,0.0
2,0.07,-16,0.7,-4.1,-19.8,1.8,-4.2,1,-0.1,0,1,0.464312416,0.30408592,0.550869882,0.64372207,89.22132454,352.5567246,171.0134063,87.43837392,89.22132454,46.43113199,0.66412262,0.173886462,10,-0.31817186,-3.534186637,16.24314033,12,0.244851042,-0.510766777,4.643918909,0.046918575,0.251951655,-0.966601785,0.33206131,1.825492769,-1.52229468,307.8553932,105.100241,916.0790154,916.0790154,2,0.07
3,0.1,-16.2,0.4,-4,-19.8,1.8,-4.2,1,-0.1,0,0.156007268,0.438844417,0.167859127,0.553070792,0.712510937,55.68344677,353.9653069,137.9947501,54.49239214,55.68344677,24.19585096,0.405815466,0.125251621,10,-0.31817186,-3.534186637,16.24314033,12,0.251511397,-0.752076454,4.584009834,0.047473605,0.231842515,-0.971594208,0.202907733,1.804767707,-1.5219736,307.8553932,105.100241,916.0790154,916.0790154,3,0.1
4,0.13,-16.7,0,-4.4,-19.8,1.7,-4.2,1,-0.1,0,0.117546863,0.634318881,0.009070168,0.479728165,0.782929572,57.53556344,307.0260255,104.1938056,56.19397255,57.53556344,-5.454134763,0.409524089,0.106140516,10,-0.31817186,-3.534186637,16.24314033,12,-0.094376661,-0.987741815,4.518570637,0.0186496,0.212203735,-0.977047474,0.204762045,1.78462583,-1.551710933,307.8553932,105.100241,916.0790154,916.0790154,4,0.13
5,0.17,-16.2,0.6,-4.6,-19.8,1.7,-4.2,1,-0.1,0,0.087158936,0.715097364,0.26657163,0.458346796,0.649826141,55.05207994,293.3419495,168.0834524,54.50912354,55.05207994,-54.55120244,0.409097418,0.064142608,10,-0.31817186,-3.534186637,16.24314033,12,-0.198740407,-0.534195775,4.624801767,0.009952621,0.249999239,-0.96819488,0.204548709,1.823475795,-1.560517125,307.8553932,105.100241,916.0790154,916.0790154,5,0.17
6,0.2,-16.2,0.4,-4,-19.8,1.7,-4.2,1,-0.1,0,1,0.419641114,0.186880648,0.560642051,0.704816997,90.72967109,358.8109126,141.6878415,88.6573621,90.72967109,27.30922499,0.662752912,0.063997128,10,-0.31817186,-3.534186637,16.24314033,12,0.28859806,-0.722638101,4.592946121,0.05056416,0.234295711,-0.970849517,0.331376456,1.807290378,-1.518760956,307.8553932,105.100241,916.0790154,916.0790154,6,0.2
7,0.23,-16.2,0.4,-4,-19.8,1.7,-4.2,1,-0.1,0,1,0.417603907,0.182604704,0.561118008,0.707173039,91.37359269,359.1155249,140.5569414,89.26200035,91.37359269,26.7640461,0.666955119,0.054845261,10,-0.31817186,-3.534186637,16.24314033,12,0.290758193,-0.730662954,4.59112509,0.050744171,0.233626974,-0.97100127,0.33347756,1.80660255,-1.51858419,307.8553932,105.100241,916.0790154,916.0790154,7,0.23
8,0.26,-16.2,0.4,-4,-19.8,1.7,-4.2,1,-0.1,0,1,0.416009291,0.177527307,0.561397989,0.709894898,89.75443672,359.2947129,139.2504488,87.65823249,89.75443672,26.10918451,0.654566158,0.060397814,10,-0.31817186,-3.534186637,16.24314033,12,0.291906088,-0.740198488,4.58889496,0.050839829,0.232832346,-0.971187114,0.327283079,1.805785386,-1.518495936,307.8553932,105.100241,916.0790154,916.0790154,8,0.26
9,0.3,-16.2,0.4,-4,-19.8,1.7,-4.2,1,-0.1,0,1,0.415488344,0.177063191,0.561551843,0.710182772,89.13282291,359.3931797,139.1122696,87.04582808,89.13282291,26.05282213,0.649968529,0.060506618,10,-0.31817186,-3.534186637,16.24314033,12,0.292607255,-0.741264004,4.58867629,0.05089826,0.232743553,-0.971205337,0.324984264,1.805694085,-1.518436917,307.8553932,105.100241,916.0790154,916.0790154,9,0.3
10,0.37,-15.6,1.1,-4.4,-19.8,1.7,-4.2,1,-0.1,0,0.202722324,0.583529361,0.475451701,0.516185315,0.55829242,57.34016025,330.3586019,212.0196382,55.70666688,57.34016025,77.07002817,0.436297614,1,10,-0.31817186,-3.534186637,16.24314033,12,0.079158593,-0.210272755,4.71952436,0.033110871,0.276992824,-0.960301331,0.218148807,1.851459385,-1.536330313,307.8553932,105.100241,916.0790154,916.0790154,10,0.37
