index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.6,1.1,-4.9,-19.8,2.5,-4.2,1,-0.2,0,1.0,0.8219841675027537,0.3145912980355401,0.2679763094361092,0.513488511488822,87.95529561347584,171.50483803910987,233.52551448536542,85.41026442096187,87.95529561347584,-77.01329103495172,1.169213679261629,0.5966400286381179,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-2.015476013985879,-0.08388097805179595,8.43687430805573,0.12430196377637567,0.10537920008044441,-0.9866327817337829,0.5846068396308145,1.6763715433862774,-1.4454705735522428,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,1,0.0
2,0.1,-16.2,0.5,-5,-19.8,2,-4.2,1,-0.2,0,0.99,0.870120139232271,0.22626434204679846,0.24267087912289848,0.5448893927877172,87.23653377549212,155.30936263865502,218.45309146189578,84.7373938453913,87.23653377549212,-71.81790276629232,1.1512985208442146,0.5374027393953984,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-2.2248856926753118,-0.2881793209873671,8.392369358639165,0.10685115721892294,0.0883543381691468,-0.9903415275184966,0.5756492604221073,1.6592660268784096,-1.463318845606431,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,2,0.1
3,0.13,-16.2,0.4,-4.8,-19.8,2,-4.2,1,-0.2,0,0.2289341748018191,0.7873521825099037,0.21389626114901028,0.2795902092771103,0.5660049679275085,40.812520452437596,178.9377339373506,208.31761539479587,39.8276240145545,40.812520452437596,-72.92914338279698,0.5414085126882474,0.47748388881790893,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.914123471694786,-0.4295071574301399,8.418221385314716,0.13274800896730013,0.07657701846558242,-0.9881871919622008,0.2707042563441237,1.6474483852265493,-1.4372608704007677,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,3,0.13
4,0.2,-16.9,0,-4.7,-19.8,1.7,-4.2,1,-0.2,0,0.19561942214934613,0.714770919020498,0.07986748184810954,0.30733360130401544,0.6436146855408523,41.16308607072652,196.6935048345699,171.06495094039087,40.19350432131544,41.16308607072652,-64.72472410232527,0.5467418053050048,0.37624629776795704,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.674085821142227,-0.9363525103610872,8.424453026011491,0.1527511465133467,0.03433990572133679,-0.9876678885708029,0.2733709026525024,1.6051429852030108,-1.417353618506758,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,4,0.2
5,0.26,-16.2,0.2,-5,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.8615305452600606,0.22253813630258157,0.24650575864656318,0.5482255360214466,84.20890676579648,157.76368553380044,216.8517427097056,81.84196732108131,84.20890676579648,-71.99275927088803,1.1116957697541434,0.37170715335392845,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-2.1922854450214335,-0.3102168483022334,8.393985861376285,0.1095678445234128,0.08651787755957462,-0.99020681895707,0.5558478848770717,1.6574225055549618,-1.4605931598364885,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,5,0.26
6,0.33,-16.2,0.6,-4.3,-19.8,1.7,-4.2,1,-0.2,0,0.99,0.5779432692357267,0.37739108783222397,0.370569800590121,0.5213595832595634,79.26949148493799,237.16467237767745,229.74740003540956,78.43033937739321,79.26949148493799,80.28126540628361,1.088739872637403,0.36112872510011274,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.138774330702653,-0.13837208177419402,8.57489548620387,0.1973604373833112,0.10083827477024455,-0.9751310168881046,0.5443699363187015,1.671806281571761,-1.3711001334486794,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,6,0.33
7,0.4,-16.2,0.6,-4.3,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5684119362948363,0.37634108156131774,0.3741520393761591,0.5231295073467477,77.62908861840884,239.4573052007418,228.89783647356114,76.88183919327592,77.62908861840884,78.49503314970995,1.0677272835894702,0.37061991610610745,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.1079113466795731,-0.1503764281216684,8.579948541735384,0.19993235271856782,0.0998379125746217,-0.9747099289271451,0.5338636417947351,1.670800845297401,-1.3684827178602545,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,7,0.4
8,0.43,-16.2,0.6,-4.3,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5661580144312219,0.37397664485273197,0.374907995357899,0.5245435713509166,77.22932250160805,239.94111702905536,228.21908575156004,76.51660059411344,77.22932250160805,78.49968261884806,1.062502874897146,0.37742580312610796,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.1013156255798275,-0.159832342353601,8.580338589964619,0.20048199614354664,0.09904991972196064,-0.9746774249080421,0.531251437448573,1.6700089270182048,-1.367935060402492,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,8,0.43
9,0.46,-16.2,0.6,-4.3,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5635170724458547,0.3732868700241161,0.37587869342613517,0.5252193402868203,77.41403479234535,240.5623637927265,227.89471666232626,76.72260915216731,77.41403479234535,78.0142802088623,1.0654558702537282,0.3818092615307189,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.0928263033767678,-0.16434069216612124,8.58163063166088,0.2011894396604683,0.09867422390425062,-0.9745697547666871,0.5327279351268641,1.6696313816585997,-1.3672169263317184,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,9,0.46
10,0.49,-16.2,0.6,-4.3,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5625472735091142,0.3720070231416708,0.3761919317746797,0.5259512490204652,77.07161483781034,240.762836335795,227.54340047017672,76.39811087785695,77.07161483781034,78.07998201695065,1.0608515925042175,0.3898212555863201,11,-3.507099579302387,-1.3484313790171287,20.276467688861125,12.0,-1.0901109518769814,-0.16924455809600425,8.581696018740233,0.20141571895211716,0.0982655684100937,-0.9745643058434076,0.5304257962521087,1.6692207304087825,-1.3669931351497357,212.76230098194137,198.76858495181133,733.8556314803453,733.8556314803453,10,0.49
