index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-9.3,1.8,-4.3,-19.8,2,-4.2,1,0,0,1,0.551293533,0.349650092,0.50725087,0.516283645,108.6274959,324.6405568,232.1838505,106.8096404,108.6274959,-55.7234816,2.265304974,1,9,1.403367204,-2.100425063,24.69777785,12,0.08608077,-0.147138705,12.93132431,-0.10977387,0.162773863,-0.980537795,1.132652487,1.734297689,-1.682284813,355.2293907,187.2720361,602.4833526,602.4833526,1,0.0
2,0.04,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.551043229,0.351600403,0.507472378,0.515331384,108.7433554,324.7823218,232.6409356,106.902524,108.7433554,-56.13046183,2.267942252,1,9,1.403367204,-2.100425063,24.69777785,12,0.08904769,-0.137511016,12.93259478,-0.109526626,0.163576171,-0.980431922,1.133971126,1.735110896,-1.682047689,355.2293907,187.2720361,602.4833526,602.4833526,2,0.04
3,0.07,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.549590264,0.353071419,0.508135233,0.514662015,107.8491465,325.2065489,232.9622329,106.0219156,107.8491465,-56.70612352,2.249309969,1,9,1.403367204,-2.100425063,24.69777785,12,0.098142653,-0.13102185,12.93266672,-0.108768713,0.164116934,-0.980425927,1.124654984,1.735659068,-1.681284783,355.2293907,187.2720361,602.4833526,602.4833526,3,0.07
4,0.1,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.549453633,0.354544352,0.508280835,0.513945356,107.3396003,325.2997346,233.306229,105.5049294,107.3396003,-56.99292094,2.238849069,1,9,1.403367204,-2.100425063,24.69777785,12,0.100208952,-0.12395153,12.93362336,-0.108596521,0.164706128,-0.980346208,1.119424535,1.736256389,-1.681120183,355.2293907,187.2720361,602.4833526,602.4833526,4,0.1
5,0.14,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.551922136,0.354648991,0.50731845,0.513802789,107.7690476,324.6838082,233.3746614,105.8990555,107.7690476,-56.47992671,2.248100085,1,9,1.403367204,-2.100425063,24.69777785,12,0.087190124,-0.122404526,12.93533284,-0.109681423,0.164835045,-0.980203751,1.124050043,1.736387093,-1.682229347,355.2293907,187.2720361,602.4833526,602.4833526,5,0.14
6,0.17,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.552691596,0.353832699,0.506965017,0.5141761,107.5085201,324.4576108,233.1954721,105.6449497,107.5085201,-56.17295816,2.242646818,1,9,1.403367204,-2.100425063,24.69777785,12,0.082484886,-0.126247537,12.93521465,-0.110073526,0.164514794,-0.9802136,1.121323409,1.736062409,-1.68262329,355.2293907,187.2720361,602.4833526,602.4833526,6,0.17
7,0.2,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.552805948,0.353496083,0.50689894,0.514337442,107.1487956,324.4153218,233.1180276,105.29462,107.1487956,-56.0893071,2.235111013,1,9,1.403367204,-2.100425063,24.69777785,12,0.081665215,-0.127979244,12.93501621,-0.110141832,0.164370485,-0.980230136,1.117555507,1.735916109,-1.682690235,355.2293907,187.2720361,602.4833526,602.4833526,7,0.2
8,0.24,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.554173928,0.354499709,0.506424192,0.513798196,107.6569428,324.1114829,233.376866,105.7664849,107.6569428,-55.97554144,2.24599448,1,9,1.403367204,-2.100425063,24.69777785,12,0.075188236,-0.122405815,12.93668179,-0.110681581,0.164834937,-0.980091338,1.12299724,1.736386984,-1.68324976,355.2293907,187.2720361,602.4833526,602.4833526,8,0.24
9,0.27,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.555839973,0.355138453,0.505808994,0.513430326,107.7346403,323.7177564,233.5534435,105.8167518,107.7346403,-55.73721452,2.247884022,1,9,1.403367204,-2.100425063,24.69777785,12,0.06690336,-0.118686298,12.93824657,-0.111371987,0.165144897,-0.97996094,1.123942011,1.736701251,-1.683960193,355.2293907,187.2720361,602.4833526,602.4833526,9,0.27
10,0.33,-9.3,1.5,-4.3,-19.8,1.7,-4.2,1,0,0,1,0.558101009,0.357942128,0.505095023,0.511985625,107.5852046,323.260815,234.2468998,105.610981,107.5852046,-55.75247281,2.245377076,1,9,1.403367204,-2.100425063,24.69777785,12,0.057342948,-0.104180905,12.94179095,-0.112168688,0.16635368,-0.979665575,1.122688538,1.737926988,-1.684796809,355.2293907,187.2720361,602.4833526,602.4833526,10,0.33
