index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-9.3,2.6,-4.4,-19.8,2.5,-4.2,1,0,0,0.9620062959886048,0.624659122509857,0.6599566292525192,0.3139218232933672,0.5296640933607218,148.24174979568508,200.909966907755,225.76123518685353,132.22992310652003,148.24174979568508,-84.18862966134321,4.923739300313871,0.7091400655164115,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-3.98909924360054,-0.36914036935499883,20.99894840649918,0.12833255139977023,0.4342891681380222,-0.8915849228700595,2.4618696501569355,2.0200453183550224,-1.4278406315316614,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,1,0.0
2,0.132,-15.5,2.3,-4.5,-19.8,2,-4.2,1,0,0,0.23918627757932565,0.6650696592973397,0.6514999719058907,0.3002628707249072,0.5305594880130984,145.04845070853548,192.16823726394063,225.33144575371279,128.85771497081117,145.04845070853548,-80.03526861463263,4.7948214192939025,0.7091400655164115,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-4.2830886113819435,-0.3881035304425966,20.95155629245756,0.10383343741798662,0.43270890471405565,-0.8955342657068613,2.3974107096469512,2.018291718288041,-1.4553659448252299,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,2,0.132
3,0.2,-15.5,2,-4.5,-19.8,1.7,-4.2,1,0,0,0.38756223287155533,0.6640285112690052,0.6487835858810387,0.3004912918035841,0.5316647315905418,145.0603323398637,192.3144267542938,224.80092883653995,129.02356793692195,145.0603323398637,-80.01616492139541,4.7935129674269,0.6862145586309709,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-4.276450478035729,-0.4061074353697549,20.943646778021982,0.10438661519683787,0.43120857930345924,-0.8961933919098265,2.39675648371345,2.0166281893634954,-1.4548410558964107,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,3,0.2
4,0.264,-9.3,1,-5,-19.8,1.7,-4.2,1,0,0,0.15545798083248238,0.8745161031345408,0.35315351930525374,0.21608780516866183,0.6391334972628787,152.0143731214869,138.29619530794358,173.21592131381823,138.58427037222836,152.0143731214869,-46.932352872822605,4.785783164481704,0.6862145586309709,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-5.928306845428159,-2.096986557964885,20.22168799599516,-0.03326808208586463,0.290301985753865,-0.9563566237453949,2.392891582240852,1.8653387254524905,-1.605568577991165,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,4,0.264
5,0.332,-9.3,0.8,-5.1,-19.8,1.7,-4.2,1,0,0,0.38941357451291053,0.9077804705105224,0.28742875465596995,0.20112917670483607,0.6652541123887452,153.65729501491035,128.7226730910951,160.67802605340233,140.46166750197497,153.65729501491035,-40.339875115607754,4.814982241128043,0.6484382856526416,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-6.217194903771643,-2.500297261226904,20.12048146296501,-0.05734208694782169,0.2566927604820301,-0.9647905014979073,2.4074911205640217,1.8303950698143823,-1.6301612453854226,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,5,0.332
6,0.363,-9.3,0.8,-5.1,-19.8,1.7,-4.2,1,0,0,0.1042143997924065,0.9061138737049952,0.288396228757561,0.2017581893219189,0.6649484317297176,153.08902127069447,129.1252411660281,160.82475276973554,139.98449766555805,153.08902127069447,-40.4991563205418,4.79717252728457,0.6484382856526416,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-6.203867118583291,-2.4960340450587872,20.12083206484915,-0.0562314381821257,0.25704802849603986,-0.9647612846742292,2.398586263642285,1.830762672420089,-1.6290157976971722,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,6,0.363
7,0.395,-9.3,0.8,-5,-19.8,1.7,-4.2,1,0,0,0.19016454602292043,0.8898843846561026,0.2906156818522172,0.20747854698459084,0.6651203905070515,153.53308808145454,132.78627007013813,160.7422125566153,140.93243624909897,153.53308808145454,-41.551100819505336,4.808831995305585,0.6160601745878513,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-6.08038364401909,-2.497474206798349,20.113911781039167,-0.0459411486351089,0.256928015017743,-0.9653379749917276,2.4044159976527926,1.8306384881622861,-1.6183511865162434,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,7,0.395
8,0.428,-9.3,0.8,-5,-19.8,1.7,-4.2,1,0,0,0.35944483655910675,0.8888148446823434,0.29123549138292226,0.2078806035907829,0.6649239544859655,153.21047617767658,133.04358629810105,160.83650184673658,140.6613818706118,153.21047617767658,-41.65408332752901,4.798766504048159,0.5553787130966215,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-6.071916833786514,-2.4947074657608135,20.114248646404093,-0.045235581115727605,0.257158576770871,-0.9653099028779839,2.3993832520240796,1.8308770661635783,-1.6176232706761446,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,8,0.428
9,0.464,-9.3,0.8,-5,-19.8,1.7,-4.2,1,0,0,0.3681705051824493,0.8872954332298644,0.29060201012735876,0.20836949702743973,0.6653095356193524,153.14851725704654,133.35647809756142,160.6514229027109,140.6735108120478,153.14851725704654,-41.689358267251066,4.796326746761139,0.4627211440389578,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-6.060918879218612,-2.500641799859864,20.112159291741328,-0.04431908490173572,0.25666404892928346,-0.9654840157665476,2.3981633733805694,1.830365362989986,-1.6166676149561732,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,9,0.464
10,0.496,-15.3,1.2,-4.5,-19.8,1.7,-4.2,1,0,0,0.19153958966434853,0.6494520221688798,0.3653933081980334,0.2923302691202451,0.6491424601583273,151.44028376115466,187.0913722369569,168.4116191240029,144.32606611022874,151.44028376115466,-60.730594825789126,4.800666905214081,0.3869193109736657,35,-5.529089860397783,-5.580610387011265,31.697967480939898,12.0,-4.304102618142781,-2.257934695290725,20.232400224848206,0.10208227018791685,0.2768896409767116,-0.9554639380076408,2.4003334526070406,1.8513520024455492,-1.4643595631097504,211.8531380440113,130.8454164442095,469.4307295553697,469.4307295553697,10,0.496
