index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
11,0.51,-9.3,3.3,-3.6,-19.8,1.7,-4.1,1,0.3,0,0.058741986,0.164177593,0.067066883,0.58249209,0.732011376,259.4987631,372.7949375,128.6345397,249.8205598,259.4987631,25.30730281,2.761957869,0.382072441,12,-0.534426852,-4.111950871,18.3032759,12,0.597385158,-1.138101552,6.732829851,0.094317668,0.247820777,-0.964203838,1.380978934,1.821226541,-1.473287325,301.8969757,100.7129372,812.9692237,812.9692237,11,0.51
12,0.55,-16.4,3.5,-3.1,-19.8,1.7,-4.1,1,0.2,0,0.052867138,0.016411597,0.843382724,0.669752145,0.381297753,230.5745169,428.6413728,296.9770787,189.9074485,230.5745169,60.5369114,2.768661002,0.382072441,12,-0.534426852,-4.111950871,18.3032759,12,1.342885386,0.779039313,7.50726211,0.156442687,0.407582515,-0.899667816,1.384330501,1.990601461,-1.398628473,301.8969757,100.7129372,812.9692237,812.9692237,12,0.55
13,0.58,-15.5,2.3,-4.4,-19.8,1.7,-4.1,1,0.2,0,0.99,0.559624509,0.311655242,0.510153037,0.64479869,117.2728293,326.4979434,170.4966286,115.6419605,117.2728293,60.75141802,1.284052253,0.383778214,12,-0.534426852,-4.111950871,18.3032759,12,0.074175199,-0.745583774,6.801224949,0.050716838,0.280530591,-0.958504246,0.642026127,1.85514318,-1.517933143,301.8969757,100.7129372,812.9692237,812.9692237,13,0.58
14,0.61,-15.5,1.9,-4.3,-19.8,1.7,-4.1,1,0.2,0,0.811880216,0.50094147,0.200169826,0.519604159,0.692019167,120.3694994,332.5466616,147.8307999,118.7370379,120.3694994,30.7411049,1.2979948,0.390522163,12,-0.534426852,-4.111950871,18.3032759,12,0.139636708,-0.985223387,6.737411751,0.056171963,0.260560624,-0.963822013,0.6489974,1.834399166,-1.512581746,301.8969757,100.7129372,812.9692237,812.9692237,14,0.61
15,0.64,-15.7,3.5,-3.5,-19.8,1.7,-4.1,1,0.2,0,0.069242251,0.192504984,0.853592397,0.626168134,0.384688914,223.8346526,400.7476061,295.3493213,189.171974,223.8346526,65.5108174,2.669407021,0.433500199,12,-0.534426852,-4.111950871,18.3032759,12,0.990645369,0.747983671,7.437955337,0.127089352,0.404994545,-0.90544338,1.334703511,1.987769191,-1.431345895,301.8969757,100.7129372,812.9692237,812.9692237,15,0.64
16,0.68,-14.4,3.5,-3.5,-19.8,1.7,-4.2,1,0.2,0,0.03330485,0.189634013,0.772897714,0.626137915,0.410510556,225.8664743,400.7282659,282.9549329,194.0593995,225.8664743,64.10172037,2.667885218,0.432987988,12,-0.534426852,-4.111950871,18.3032759,12,0.981982934,0.593994837,7.369174368,0.126367482,0.392162142,-0.911175128,1.333942609,1.973777165,-1.43298909,301.8969757,100.7129372,812.9692237,812.9692237,16,0.68
17,0.71,-12.1,3.5,-4.5,-19.8,1.7,-4.2,1,0.2,0,0,0.59276982,0.605225309,0.5,0.5,0,320,240,0,0,90,0,0.432987988,12,-0.534426852,-4.111950871,18.3032759,12,0,0,0,0,0,0,0,0,0,301.8969757,100.7129372,812.9692237,812.9692237,17,0.71
18,0.75,-15.5,2.4,-5.6,-19.8,1.7,-4.2,1,0.2,0,0.732419523,1.084929587,0.419220611,0.2888065,0.823753712,42.05305003,184.8361598,84.59821818,39.44082351,42.05305003,-20.92238794,0.430749056,0.449368144,12,-0.534426852,-4.111950871,18.3032759,12,-1.437782739,-1.651058266,6.593111269,-0.075279657,0.205074384,-0.975847053,0.215374528,1.777336033,-1.64778673,301.8969757,100.7129372,812.9692237,812.9692237,18,0.75
19,0.78,-15.5,2.5,-5.1,-19.8,1.7,-4.2,1,0.2,0,0.109816592,0.872878245,0.480065219,0.384130633,0.63845957,239.5177162,245.8436051,173.5394065,230.0006343,239.5177162,-52.58669797,2.596545381,0.449368144,12,-0.534426852,-4.111950871,18.3032759,12,-0.81813384,-0.66008474,6.81397085,-0.023642249,0.287655511,-0.957442088,1.29827269,1.862574307,-1.595484447,301.8969757,100.7129372,812.9692237,812.9692237,19,0.78
20,0.81,-15.5,2.7,-4.9,-19.8,1.7,-4.2,1,0.2,0,0.073256092,0.798938559,0.57625572,0.389636897,0.543146966,233.1234551,249.3676143,219.2894564,218.6580217,233.1234551,-67.91179864,2.600908836,0.449368144,12,-0.534426852,-4.111950871,18.3032759,12,-0.796816099,-0.156762638,6.976862616,-0.021865771,0.329599019,-0.943867774,1.300454418,1.906675157,-1.593958321,301.8969757,100.7129372,812.9692237,812.9692237,20,0.81
