index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,left_gaze,norm_pos_x,norm_pos_y,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius	theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-9.3,0.9,-6.1,-19.8,2.5,-4.2,1,-0.2,0,0.05225609534994704,1.3765123312177572,0.7338641831708212,0.3480302500310556,0.5838049612204957,182.8352728895799,222.73936001987556,199.77361861416205,157.82066170815264,182.8352728895799,-56.34735861849853,1.6103924087253787,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.8806119316107665,-0.3117726456504588,5.547273525155719,-0.14065910597731276,0.4508937590115421,-0.8814248884562453,0.8051962043626893,2.038562736455102,-1.7290435086938265,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,1,0.0
2,0.13,-13.7,0,-5.5,-19.8,2,-4.2,1,-0.2,0,0.17811289095459462,1.131197927505096,0.2389133343604617,0.38135956327593706,0.7910573555939149,200.2826177658613,244.0701204965997,100.29246931492088,185.5964969867543,200.2826177658613,-34.3128321937196,1.6076513107273254,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.6410440071165785,-1.1097352791347745,5.141443174098722,-0.12069511226946376,0.38439687288784913,-0.9152440843776617,0.8038256553636627,1.9653507371274768,-1.701911824948303,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,2,0.13
3,0.16,-13.9,0,-5.4,-19.8,2,-4.2,1,-0.2,0,0.17396609475767041,1.0868365208072097,0.2277339971446617,0.3940663247129463,0.7942736712762786,200.59969210052822,252.20244781628563,98.74863778738626,187.18572174881902,200.59969210052822,-33.81532692092037,1.608418915992566,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.5718724363185613,-1.1194584581831792,5.128467495752529,-0.11493081470296233,0.3835866079671488,-0.9163253909065111,0.804209457996283,1.9644731968851827,-1.6955705157955012,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,3,0.16
4,0.23,-9.3,1,-6.2,-19.8,1.7,-4.2,1,-0.2,0,0.10245674939932557,1.4546017921853958,1.0266298294744463,0.35118377977322923,0.4793130103214367,174.0638684750084,224.75761905486672,249.9297550457104,142.01402620991502,174.0638684750084,-63.39579390425129,1.609399618225552,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.899219155389945,0.1393277552389005,5.7935056618771394,-0.142209707958911,0.4884854590856555,-0.8609055437294604,0.804699809112776,2.081149514531348,-1.7345041969195465,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,4,0.23
5,0.3,-15.1,0,-5.4,-19.8,1.7,-4.2,1,-0.2,0,0.15560793746256824,1.085310101895125,0.22087699831054453,0.3940931623761402,0.7977464422924978,200.98733038749555,252.21962392072976,97.08170769960108,187.5585418769998,200.98733038749555,-33.25859626179802,1.608893729779827,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.571177099760691,-1.1320067984395372,5.123135846679638,-0.11487286998980649,0.3825409129457856,-0.9167696949959189,0.8044468648899135,1.9633411515133146,-1.6954484425412846,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,5,0.3
6,0.33,-15.2,0,-5.3,-19.8,1.7,-4.2,1,-0.2,0,0.1616439210098084,1.0371250797749485,0.2074157583368179,0.407964597481146,0.8022964119087292,200.9320730080285,261.09734238793345,94.89772228380994,188.87715042388018,200.9320730080285,-32.29620854094024,1.605840331490338,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.49597118954704233,-1.14660490107061,5.1078983524118176,-0.10860571080533575,0.3813244043931962,-0.9180394861849037,0.802920165745169,1.9620248545611572,-1.6885508111023118,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,6,0.33
7,0.36,-15.6,1.1,-4.2,-19.8,1.7,-4.2,1,-0.2,0,0.06443140004841819,0.5018735164245993,0.60155942175661,0.6061431265375702,0.6366376545990389,189.3116917619144,387.9316009840449,174.41392579246133,176.15138049608413,189.3116917619144,72.98631294778409,1.6060739846194032,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.5779459825614346,-0.5125800987359783,5.316775044695984,-0.019112613129629332,0.4341598045877488,-0.900633095161223,0.8030369923097016,2.0199017094779523,-1.5920144509389584,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,7,0.36
8,0.4,-9.3,1.5,-4.5,-19.8,1.7,-4.2,1,-0.2,0,0.07648624007226372,0.657097829160679,1.208841495136292,0.5894932490408724,0.4219742737263815,173.08914654774568,377.27567938615834,277.45234861133684,142.45312053260665,173.08914654774568,85.4354509934825,1.6109701221301664,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.5314829713991294,0.39798403087684875,5.806250789904281,-0.022984530726488102,0.510040148722151,-0.8598434497271983,0.8054850610650832,2.1060277928116857,-1.5975210271446965,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,8,0.4
9,0.4,-9.3,1.4,-4.5,-19.8,1.7,-4.2,1,-0.2,0,0.07648624007226372,0.657097829160679,1.208841495136292,0.5894932490408724,0.4219742737263815,173.08914654774568,377.27567938615834,277.45234861133684,142.45312053260665,173.08914654774568,85.4354509934825,1.6109701221301664,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.5314829713991294,0.39798403087684875,5.806250789904281,-0.022984530726488102,0.510040148722151,-0.8598434497271983,0.8054850610650832,2.1060277928116857,-1.5975210271446965,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,9,0.4
10,0.43,-15.6,0.8,-4.2,-19.8,1.7,-4.2,1,-0.2,0,0.838304997759437,0.49720782484358095,0.5026632163233247,0.6014378397897879,0.6756906011299025,103.63879175566397,384.92021746546425,155.6685114576468,98.2143676611806,103.63879175566397,68.24684123176685,0.865253797526959,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.5463219420595927,-0.6969865025361264,5.230514811708778,-0.021747949838116155,0.41879260427106985,-0.9078214479101571,0.4326268987634795,2.002911627530593,-1.5947479429874274,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,10,0.43
11,0.46,-13.6,0,-5.6,-19.8,1.7,-4.2,1,-0.2,0,0.03592882470202295,1.1462990581221106,0.34055119845283643,0.38371151607274456,0.7413952268856238,193.31419923773714,245.5753702865565,124.1302910949006,178.63822483806138,193.31419923773714,-41.81663365752496,1.587573784225088,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,-0.6371945086199068,-0.9276322218944966,5.219203328241395,-0.12037432072807443,0.39957212765787226,-0.9087640715324388,0.793786892112544,1.9818463733965421,-1.7024890680654678,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,11,0.46
12,0.49,-15.3,1.2,-3.9,-19.8,1.7,-4.2,1,-0.2,0,0.062459452457399714,0.376892415350623,0.6597723322246165,0.6551272744063421,0.6259379423211808,186.79754784016188,419.281455620059,179.5497876858332,169.7368381980388,186.79754784016188,65.97196130212618,1.5773517295934507,1.0,47,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.8509588939782922,-0.4720187705297807,5.334072648848217,0.0036384628217754618,0.4375399152715986,-0.8991916281485369,0.7886758647967254,2.023657310869676,-1.566749977996251,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,12,0.49
13,0.53,-15.7,1.1,-4.2,-19.8,1.7,-4.2,1,-0.2,0,0.99,0.4992794852726812,0.5916071839575237,0.6064229026367084,0.6406359194268599,107.50019597874432,388.11065768749336,172.49475867510722,100.38624449043643,107.50019597874432,71.90333920487699,0.9090156803140986,1.0,49,0.8072973401169866,-5.722497753788964,16.124372186630662,12.0,0.5800919555130332,-0.5604460557173869,5.293785869184903,-0.018933782050329456,0.4301709748392981,-0.9025488597871466,0.4545078401570493,2.015478489066145,-1.5917713744146575,351.04147839551456,19.963612456744272,922.8266271562238,922.8266271562238,13,0.53
14,0.56,-15.8,1.1,-4.2,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5007548203260495,0.5837600453415348,0.6054028864828097,0.6435416766109627,104.00649395238818,387.4578473489982,171.09999522673792,96.62409797369455,104.00649395238818,70.64824154820192,1.6037331725570485,1.0,49,1.1107935615863933,-6.341189046363475,20.42301854891007,12.0,1.0487832213038732,-1.0451466609228506,9.655099076267529,-0.005167528356876669,0.44133686545338535,-0.8973266227202117,0.8018665862785243,2.027884262109125,-1.5765550673718163,353.7213623213557,47.49480301700203,728.5896531095357,728.5896531095357,14,0.56
15,0.62,-15.9,1.1,-4.2,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5011363166753369,0.5808007268843371,0.605079754122496,0.6446537100766789,102.37525981045236,387.25104263839745,170.56621916319415,95.18001243263976,102.37525981045236,70.5754286865756,1.5779210305700218,1.0,49,1.1107935615863933,-6.341189046363475,20.42301854891007,12.0,1.045144636612977,-1.0538828022500404,9.650828293460208,-0.005470743747784683,0.4406088536761195,-0.8976825212874884,0.7889605152850109,2.0270731253587755,-1.5768905481826678,353.7213623213557,47.49480301700203,728.5896531095357,728.5896531095357,15,0.62
16,0.69,-15.9,1.1,-4.2,-19.8,1.7,-4.2,1,-0.2,0,1.0,0.5041444012333276,0.5808880364886364,0.6040276363559055,0.6443999369534391,101.35706347145775,386.57768726777954,170.68803026234923,94.2667706779605,101.35706347145775,70.85943595555968,1.562666260825531,1.0,49,1.1107935615863933,-6.341189046363475,20.42301854891007,12.0,1.034734917569747,-1.0525826611271523,9.651535012056478,-0.006338220334720533,0.4407171987696935,-0.8976236280711326,0.7813331304127655,2.0271938209148743,-1.577857320734822,353.7213623213557,47.49480301700203,728.5896531095357,728.5896531095357,16,0.69
