index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
1,0.0,-15.6,0,-2.1,-19.8,2.5,-4.2,1,-0.3,0,0.034723051,-0.438920992,-0.044175247,0.671963844,0.86453407,159.4854198,430.05686,65.0236462,152.1530479,159.4854198,12.79974419,3.318160527,1,3,1.674035357,-5.557644552,25.17297568,12,2.377866376,-3.730501112,13.33379628,0.058652585,0.152261953,-0.986598283,1.659080263,1.723652837,-1.511416907,361.2307998,103.1175088,591.1100933,591.1100933,1,0.0
2,0.068,-15.3,0.9,-3.8,-19.8,1.8,-4.2,1,-0.2,0,0.239798045,0.361081227,0.543186637,0.608934126,0.571140339,146.2900474,389.7178405,205.8526373,135.0073387,146.2900474,73.93843682,3.321275011,1,3,1.674035357,-5.557644552,25.17297568,12,1.591609041,-0.708357096,14.19674604,-0.00686886,0.404107288,-0.914685803,1.660637506,1.986798998,-1.578305715,361.2307998,103.1175088,591.1100933,591.1100933,2,0.068
3,0.1,-15.5,1.9,-4.9,-19.9,1.7,-4.2,1,0,-0.2,0.231661452,0.505439255,0.569793717,0.564951995,0.551022977,144.5010523,361.5692767,215.5089712,132.9324848,144.5010523,89.13783279,3.325892723,1,3,1.674035357,-5.557644552,25.17297568,12,0.947153083,-0.490504937,14.31960117,-0.060573523,0.422261635,-0.904447876,1.662946361,2.006735181,-1.637669391,361.2307998,103.1175088,591.1100933,591.1100933,3,0.1
4,0.168,-15.5,2.2,-5.3,-19.9,1.7,-4.2,1,0,-0.2,0.209350358,0.628034147,0.633254541,0.523635993,0.521865745,142.6958309,335.1270352,229.5044422,127.7401241,142.6958309,-78.38209529,3.339856473,1,3,1.674035357,-5.557644552,25.17297568,12,0.33464294,-0.168979011,14.5349161,-0.111616035,0.449055462,-0.886504965,1.669928237,2.036504268,-1.696042995,361.2307998,103.1175088,591.1100933,591.1100933,4,0.168
5,0.2,-15.5,2.3,-5.4,-19.9,1.7,-4.2,1,0,-0.2,0.147284581,0.689214484,0.682687119,0.503762457,0.503591132,140.4942457,322.4079724,238.2762566,122.8761488,140.4942457,-73.96706384,3.322344734,1,3,1.674035357,-5.557644552,25.17297568,12,0.0344119,0.035869232,14.68373174,-0.136635288,0.466126149,-0.874103662,1.661172367,2.055703401,-1.725856267,361.2307998,103.1175088,591.1100933,591.1100933,5,0.2
6,0.264,-12.4,2.5,-6.3,-19.9,1.7,-4.2,1,0,-0.2,0.049389026,0.812313801,0.690806842,0.459478967,0.500627283,139.0221207,294.066539,239.6989042,118.3611509,139.0221207,-64.06283061,3.317846189,1,3,1.674035357,-5.557644552,25.17297568,12,-0.649319427,0.067789262,14.83099729,-0.193612899,0.468786151,-0.861831532,1.658923095,2.058712401,-1.79178031,361.2307998,103.1175088,591.1100933,591.1100933,6,0.264
7,0.332,-15.5,1.9,-5.6,-19.9,1.7,-4.2,1,0.1,-0.2,0.074897941,0.762761169,0.527261331,0.218937031,0.601992869,129.4881146,140.1196996,191.0434229,80.08612992,129.4881146,-25.84024311,3.270384505,1,3,1.674035357,-5.557644552,25.17297568,12,-4.681300251,-1.209029211,15.96975592,-0.529611301,0.362384612,-0.76693498,1.635192253,1.941621469,-2.175155654,361.2307998,103.1175088,591.1100933,591.1100933,7,0.332
8,0.396,-15.5,2.2,-5.7,-19.9,1.7,-4.2,1,0.1,-0.2,0.06864199,0.777972015,0.573241526,0.201619584,0.592503935,127.4339713,129.0365335,195.5981113,72.87193179,127.4339713,-25.8149226,3.282647717,1,3,1.674035357,-5.557644552,25.17297568,12,-5.063622921,-1.116095038,16.29172583,-0.561471523,0.370129126,-0.740104154,1.641323858,1.949944341,-2.219803206,361.2307998,103.1175088,591.1100933,591.1100933,8,0.396
9,0.464,-9.3,2.9,-7.1,-19.9,1.7,-4.2,1,0.1,-0.2,0.032722909,0.827325854,0.555981219,0.228768492,0.589579062,129.6248708,146.4118346,197.0020501,81.64582195,129.6248708,-27.56164461,3.268449666,1,3,1.674035357,-5.557644552,25.17297568,12,-4.506672443,-1.051303265,15.92680137,-0.515058983,0.375528441,-0.770514525,1.634224833,1.955763206,-2.160040198,361.2307998,103.1175088,591.1100933,591.1100933,9,0.464
10,0.496,-15.5,2.5,-5.1,-20,1.7,-4.2,1,0.1,-0.2,0.99,0.464660462,0.618888872,0.577660877,0.535554686,145.1974651,369.7029612,222.9337509,131.6843122,145.1974651,85.70413869,3.354546395,1,3,1.674035357,-5.557644552,25.17297568,12,1.142812474,-0.318374804,14.39021839,-0.044268574,0.436605812,-0.898563107,1.677273198,2.022618756,-1.620022486,361.2307998,103.1175088,591.1100933,591.1100933,10,0.496
